"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","task","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","attention_check_correct","target_button","question_order","image_id","iamge_set"
"true","false","[]","[]","[]","preload","0","762","0.0-0.0","39","male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","4227","0.0-1.0","39","male","3463","welcome_msg","0","wecome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","67260","0.0-2.0","39","male","63027","PISdoc","0","PIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","3","74576","0.0-3.0","39","male","7315","","{""age"":""39"",""gender"":""male""}","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","95142","0.0-4.0","39","male","20565","<div style= ""font-size: 24px; color: white; 
        position: absolute;
         top: 50%;left: 50%; transform: translate(-50%, -50%)"">        

            <br>Welcome to the experiment.<br> 
            Please read the instructions carefully.<br>
            There are two task types.<br><br>
            In the visual search task:<br>
            You must search the screen for either a red <font color = ""red"">""T"" </font>
            or blue <font color = ""blue""> ""O"" </font> hidden among red <font color = ""red""> ""X""s </font>.
            <br><br> In the digit task:<br> You must recall a list of numbers in reverse order. </div>
        ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","248408","0.0-5.0","39","male","153273","calibration","0","calibration","119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","260612","0.0-6.0","39","male","12202","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","262818","0.0-7.0","39","male","2203.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","264977","0.0-8.0","39","male","2157.300000011921","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","267277","0.0-9.0","39","male","2298.600000023842","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","269208","0.0-10.0","39","male","1929","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","270565","0.0-11.0","39","male","1356.1000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","271832","0.0-12.0","39","male","1266","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","273174","0.0-13.0","39","male","1340.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","274564","0.0-14.0","39","male","1389","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","276021","0.0-15.0","39","male","1456.1000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","277391","0.0-16.0","39","male","1368.6000000238419","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","17","287905","0.0-17.0","39","male","10513","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","292423","0.0-18.0","39","male","","DSB","","DSB 5420","","","","","[5,4,2,0]","4","0245","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","19","333762","0.0-19.0","39","male","336272","DSBrecall","5432","DSBrecall","","false","","","","","","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","335959","0.0-20.0","39","male","2196","<p style='color:red;'>Incorrect.</p><p>Try to recall in the reversed order.</p>","0","feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","21","338381","0.0-21.0","39","male","2421","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","347309","0.0-22.0","39","male","","DSB","","DSB 23428703","","","","","[2,3,4,2,8,7,0,3]","8","30782432","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","23","409979","0.0-23.0","39","male","412489","DSBrecall","30824321","DSBrecall","","false","","","","","","8","2","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","24","411096","0.0-24.0","39","male","1116","<p style='color:red;'>Incorrect.</p><p>Try to recall in the reversed order.</p>","0","feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","25","414485","0.0-25.0","39","male","3388","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","26","416986","0.0-26.0","39","male","null","VisSearch","","VisSearch","","false","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","27","419487","0.0-27.0","39","male","null","VisSearch","","VisSearch","","false","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","28","421726","0.0-28.0","39","male","2237.0999999940395","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","29","424228","0.0-29.0","39","male","null","VisSearch","","VisSearch","","false","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","30","425855","0.0-30.0","39","male","1626.5999999940395","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","31","428219","0.0-31.0","39","male","2362.4000000059605","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","32","429970","0.0-32.0","39","male","1750.300000011921","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","33","431311","0.0-33.0","39","male","1340.5","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","34","432676","0.0-34.0","39","male","1363.5999999940395","VisSearch","","VisSearch","","true","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","35","435177","0.0-35.0","39","male","null","VisSearch","","VisSearch","","false","2","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","36","438225","0.0-36.0","39","male","3047","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","442742","0.0-37.0","39","male","","DSB","","DSB 1844","","","","","[1,8,4,4]","4","4481","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","452993","0.0-38.0","39","male","455503","DSBrecall","4481","DSBrecall","","true","","","","","","4","4","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","39","454035","0.0-39.0","39","male","1041","<p style='color:green;'>Correct!</p><p>Good job!</p>","0","feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","40","457194","0.0-40.0","39","male","3158","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","466121","0.0-41.0","39","male","","DSB","","DSB 93970607","","","","","[9,3,9,7,0,6,0,7]","8","70607939","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","42","499465","0.0-42.0","39","male","501975","DSBrecall","70607939","DSBrecall","","true","","","","","","8","8","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","43","500897","0.0-43.0","39","male","1431","<p style='color:green;'>Correct!</p><p>Good job!</p>","0","feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","44","506611","0.0-44.0-0.0","39","male","5713","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","45","509543","0.0-44.0-0.1","39","male","2931","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","46","512582","0.0-44.0-0.2","39","male","3039","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","47","516453","0.0-44.0-0.3","39","male","3870","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","48","522144","0.0-44.0-0.4","39","male","5690","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","49","531328","0.0-44.0-0.5","39","male","9183","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","50","532539","0.0-44.0-0.6","39","male","1210","expInstruc","0","expIntructions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","51","537745","0.0-45.0","39","male","5205","block message","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","541906","0.0-46.0","39","male","4160","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","53","543480","0.0-47.0","39","male","1572.9000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
